ID,Year_Birth,Income,Dt_Customer,Recency,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Numbers of sons,Total_Spent,Total_Purchases,Marital_Status_Alone,Marital_Status_Partner,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Clusters
6864,1989,10979,2013-07-02,34,5,0,0,0,0,0,0,3,11,0,35,0,30,8,1,0,0,0,1,0,3
3033,1963,38620,2013-11-05,56,3,0,0,0,0,0,0,3,11,0,61,0,318,11,0,1,0,0,1,0,2
5710,1970,40548,2012-10-10,31,5,0,1,0,0,0,0,3,11,0,54,1,120,9,0,1,0,1,0,0,1
7373,1952,46610,2013-07-02,8,6,0,0,0,0,0,0,3,11,1,72,2,302,17,1,0,0,0,0,1,0
8755,1946,68657,2013-07-02,4,7,0,0,0,0,0,0,3,11,0,78,0,1196,18,0,1,0,0,1,0,2
10738,1951,49389,2013-07-02,55,7,0,0,0,0,0,0,3,11,0,73,2,65,6,1,0,0,0,1,0,3
4339,1970,67353,2013-07-02,37,2,0,0,0,0,0,0,3,11,0,54,1,913,28,0,1,0,0,0,1,2
10755,1976,23718,2013-02-09,76,7,0,0,0,0,0,0,3,11,0,48,1,81,9,0,1,0,0,0,0,1
8595,1973,42429,2014-11-02,99,5,0,0,0,0,0,0,3,11,0,51,1,67,7,1,0,0,1,0,0,3
2968,1943,48948,2013-01-02,53,6,1,0,0,0,0,0,3,11,1,81,0,902,24,1,0,0,0,0,1,0
8601,1980,80011,2013-07-02,3,4,0,0,0,0,0,0,3,11,0,44,1,1395,21,0,1,0,1,0,0,4
503,1985,20559,2013-12-03,88,8,0,0,0,0,0,0,3,11,0,39,1,53,7,0,1,0,0,1,0,1
8430,1957,21994,2013-07-02,4,5,0,0,0,0,0,0,3,11,0,67,1,22,4,0,1,0,1,0,0,1
2139,1975,7500,2013-02-10,19,5,0,0,0,0,0,0,3,11,0,49,1,31,8,0,1,0,0,1,0,1
1371,1976,79941,2013-07-02,72,1,0,0,0,0,0,0,3,11,0,48,0,984,16,1,0,0,1,0,0,0
9909,1996,7500,2012-09-11,24,9,0,0,0,0,0,0,3,11,1,28,0,122,10,0,1,0,0,0,0,1
7286,1968,41728,2013-07-02,92,10,0,0,0,0,0,0,3,11,0,56,1,55,5,0,1,0,1,0,0,1
6566,1954,72550,2012-08-11,39,8,0,0,0,0,0,0,3,11,0,70,2,1319,28,0,1,0,0,0,1,2
8614,1957,65486,2014-12-05,29,2,0,0,0,0,0,0,3,11,0,67,1,507,17,1,0,0,1,0,0,0
4114,1964,79143,2012-11-08,2,3,0,0,0,0,0,0,3,11,0,60,0,1693,29,0,1,0,0,1,0,2
1331,1977,35790,2013-02-01,54,7,0,0,0,0,0,0,3,11,0,47,1,72,7,1,0,0,1,0,0,3
2225,1977,82582,2014-07-06,54,1,1,0,0,1,0,0,3,11,1,47,0,1617,21,1,0,0,1,0,0,0
9381,1978,66373,2013-12-06,57,3,0,0,0,0,0,0,3,11,0,46,2,606,23,0,1,0,1,0,0,4
6260,1955,82384,2013-07-02,55,1,0,0,1,0,0,0,3,11,1,69,0,1957,27,0,1,0,0,1,0,2
10383,1966,70287,2013-02-04,30,3,0,0,0,0,0,0,3,11,1,58,0,1093,21,1,0,0,1,0,0,0
7437,1988,27938,2013-07-02,31,3,0,0,0,0,0,0,3,11,0,36,1,29,6,1,0,0,1,0,0,3
8375,1968,55954,2014-03-03,63,7,0,0,0,0,0,0,3,11,0,56,1,518,19,0,1,0,0,0,1,2
6853,1982,75777,2013-04-07,12,1,0,1,1,0,0,0,3,11,1,42,0,1438,21,1,0,0,0,1,0,0
3076,1975,66653,2012-07-09,18,3,0,0,0,0,0,0,3,11,0,49,2,612,22,0,1,0,1,0,0,4
1012,1952,61823,2013-07-02,26,7,0,0,0,0,0,0,3,11,0,72,1,884,24,1,0,0,1,0,0,0
6518,1951,67680,2013-11-06,8,5,0,0,0,0,0,0,3,11,0,73,1,606,19,1,0,0,0,0,1,0
4137,1948,70666,2013-06-12,29,4,0,0,0,0,0,0,3,11,0,76,0,1076,16,0,1,0,1,0,0,4
8082,1971,25721,2013-07-02,75,7,0,0,0,0,0,0,3,11,1,53,1,34,5,0,1,0,1,0,0,1
1386,1967,32474,2014-11-05,0,7,0,0,0,0,0,0,3,11,0,57,2,11,4,0,1,0,1,0,0,1
9369,1979,88194,2013-07-02,19,5,1,0,0,1,0,0,3,11,1,45,1,1274,32,1,0,0,0,0,0,0
4477,1958,69096,2013-07-02,4,4,0,0,0,0,0,0,3,11,0,66,1,653,18,0,1,0,1,0,0,4
1357,1970,74854,2013-08-04,90,5,0,0,0,0,0,0,3,11,0,54,3,1562,19,0,1,0,1,0,0,4
1402,1954,66991,2012-11-09,1,3,0,0,0,0,0,0,3,11,0,70,0,1253,21,0,1,0,0,1,0,2
6312,1959,65031,2013-07-02,29,7,0,0,0,0,0,0,3,11,0,65,1,863,30,0,1,0,1,0,0,4
8132,1975,60631,2013-05-04,88,7,0,1,0,0,0,0,3,11,0,49,2,661,24,0,1,0,0,0,1,2
1050,1952,28332,2013-07-02,58,2,0,0,0,0,0,0,3,11,0,72,0,65,8,0,1,0,1,0,0,4
5846,1977,40246,2013-07-02,68,6,0,0,0,0,0,0,3,11,0,47,1,13,4,1,0,0,1,0,0,3
1859,1972,75251,2013-07-02,34,5,0,0,0,0,0,0,3,11,1,52,0,1890,19,0,1,0,0,1,0,2
7503,1976,75825,2012-12-10,40,4,1,0,0,0,0,0,3,11,1,48,0,2209,22,1,0,0,1,0,0,0
10401,1976,26326,2013-04-09,12,3,0,0,0,0,0,1,3,11,0,48,0,18,4,0,1,0,0,0,0,1
1618,1965,56046,2013-02-01,9,8,1,0,0,0,0,0,3,11,1,59,0,692,21,0,1,0,1,0,0,4
3332,1985,29760,2013-07-02,87,8,0,0,0,0,0,0,3,11,0,39,1,165,12,1,0,0,1,0,0,3
2261,1969,26304,2013-07-02,5,7,0,0,0,0,0,0,3,11,0,55,1,16,4,0,1,0,1,0,0,1
5346,1973,23559,2013-03-07,87,7,0,0,0,0,0,0,3,11,0,51,1,79,9,0,1,0,0,0,0,1
4119,1963,38620,2013-11-05,56,3,0,0,0,0,0,0,3,11,0,61,0,318,11,0,1,0,0,1,0,2
535,1987,81361,2013-07-02,18,1,0,0,0,0,0,0,3,11,0,37,0,778,27,1,0,0,1,0,0,0
5268,1960,29440,2013-11-08,95,7,0,0,0,0,0,0,3,11,0,64,2,56,7,0,1,0,1,0,0,1
273,1970,36138,2013-07-02,48,7,0,1,0,0,0,0,3,11,0,54,2,151,13,0,1,0,0,1,0,1
4452,1957,50388,2013-07-02,3,7,0,1,0,1,0,0,3,11,1,67,1,372,17,1,0,0,1,0,0,0
8504,1973,79593,2014-12-05,70,2,0,0,1,0,0,0,3,11,0,51,0,1366,19,0,1,0,1,0,0,4
771,1967,54178,2013-07-02,79,2,0,0,0,0,0,0,3,11,0,57,1,194,10,0,1,0,1,0,0,4
11178,1972,42394,2013-07-02,69,7,0,0,0,0,0,0,3,11,0,52,1,32,5,1,0,0,0,1,0,3
2230,1970,23626,2013-07-02,84,5,0,0,0,0,0,0,3,11,0,54,1,43,10,0,1,0,0,0,1,1
7516,1983,30096,2013-07-02,30,6,0,0,0,0,0,0,3,11,0,41,1,45,6,0,1,0,1,0,0,1
7247,1960,47916,2013-07-02,72,6,0,1,0,0,0,0,3,11,0,64,1,606,22,1,0,0,1,0,0,0
11100,1972,51813,2013-11-04,37,7,0,0,0,0,0,0,3,11,0,52,2,63,7,1,0,0,1,0,0,3
4646,1951,78497,2013-01-12,44,2,0,0,0,1,0,0,3,11,0,73,0,978,25,0,1,0,0,0,0,2
3037,1983,50150,2013-07-02,32,5,0,0,0,0,0,0,3,11,0,41,0,410,16,0,1,0,0,0,1,2
1473,1960,47823,2013-07-02,0,8,0,0,0,0,0,0,3,11,0,64,1,72,7,1,0,0,0,0,0,3
1016,1959,34554,2013-07-02,43,6,0,0,0,0,0,0,3,11,0,65,1,55,7,1,0,0,0,0,1,3
4518,1979,85693,2013-07-02,59,5,0,0,0,0,0,0,3,11,0,45,1,1169,27,0,1,0,1,0,0,4
9370,1945,65846,2013-07-02,68,4,0,0,0,0,0,0,3,11,0,79,0,1120,16,0,1,0,0,0,1,2
8908,1959,87195,2014-08-05,35,1,0,0,0,0,0,0,3,11,1,65,0,1097,20,0,1,0,1,0,0,4
8373,1979,24594,2013-10-12,94,5,0,0,0,0,0,0,3,11,0,45,1,29,5,0,1,1,0,0,0,1
7533,1964,49096,2013-07-02,15,7,0,0,0,0,0,0,3,11,0,60,2,187,13,0,1,0,1,0,0,1
2683,1969,52413,2013-02-02,56,6,0,0,0,0,0,0,3,11,0,55,2,910,26,0,1,0,1,0,0,4
3629,1978,38557,2013-07-02,17,7,0,0,0,0,0,0,3,11,0,46,1,145,9,1,0,0,1,0,0,3
10991,1960,89058,2012-07-12,18,2,0,0,0,0,0,0,3,11,0,64,0,850,14,0,1,0,0,1,0,2
5077,1979,77298,2013-02-11,46,3,0,0,0,0,0,0,3,11,0,45,1,969,24,0,1,0,1,0,0,4
7431,1991,68126,2012-10-11,40,9,0,1,0,0,0,0,3,11,1,33,0,1820,17,1,0,0,0,0,1,0
3267,1963,57288,2013-07-02,27,6,0,1,0,0,0,0,3,11,0,61,1,608,20,0,1,0,0,1,0,2
999,1991,86037,2013-02-01,95,3,0,1,1,0,0,0,3,11,1,33,0,730,25,1,0,0,1,0,0,0
9215,1980,43974,2012-12-12,19,7,0,0,0,0,0,0,3,11,0,44,1,551,21,0,1,0,0,0,1,2
2286,1962,50785,2013-10-09,27,6,0,0,0,0,0,0,3,11,0,62,2,114,8,1,0,0,1,0,0,3
1592,1970,90765,2013-07-02,25,1,0,0,1,1,0,0,3,11,0,54,0,1724,15,0,1,0,1,0,0,4
367,1978,36550,2013-07-02,74,9,0,0,0,0,0,0,3,11,0,46,1,577,20,0,1,0,0,0,0,1
5234,1967,30753,2013-11-07,85,5,0,0,0,0,0,0,3,11,0,57,2,81,7,0,1,0,0,0,0,1
9862,1969,21918,2013-07-02,37,6,0,0,0,0,0,0,3,11,0,55,1,33,7,0,1,0,1,0,0,1
9805,1953,56129,2013-07-02,65,4,0,0,0,0,0,0,3,11,0,71,1,660,22,0,1,0,0,1,0,2
6205,1967,32557,2013-07-02,13,5,0,0,0,0,0,0,3,11,1,57,1,80,9,1,0,0,0,1,0,0
8442,1985,19510,2013-04-09,63,7,0,0,0,0,0,0,3,11,0,39,2,30,6,0,1,0,0,1,0,1
7386,1976,30992,2013-07-02,83,7,0,0,0,0,0,0,3,11,0,48,1,43,5,1,0,0,1,0,0,3
7215,1983,101970,2013-12-03,69,2,0,1,1,1,0,0,3,11,1,41,0,1135,27,1,0,0,1,0,0,0
1491,1965,71488,2013-07-02,87,1,0,0,0,0,0,0,3,11,0,59,0,559,16,0,1,0,0,0,0,4
11071,1984,79607,2013-07-02,37,1,0,0,0,0,0,0,3,11,1,40,0,1923,16,1,0,0,1,0,0,0
3381,1953,54348,2014-08-06,51,6,0,0,0,0,0,0,3,11,0,71,2,90,8,0,1,0,0,1,0,2
11051,1956,77376,2014-10-05,72,4,0,0,0,0,0,0,3,11,0,68,2,661,23,0,1,0,0,0,1,2
8026,1952,62998,2013-07-02,10,5,0,0,0,0,0,0,3,11,0,72,1,463,19,0,1,0,1,0,0,4
433,1958,61331,2013-10-03,42,8,0,0,0,0,0,0,3,11,0,66,2,632,23,1,0,0,0,1,0,0
9597,1969,73448,2014-10-02,10,4,0,0,0,0,0,0,3,11,0,55,0,725,19,0,1,0,1,0,0,4
5290,1964,41551,2013-07-02,51,8,0,0,0,0,0,0,3,11,0,60,2,279,16,0,1,0,0,0,1,2
1685,1967,62981,2013-07-02,21,3,0,1,0,0,0,0,3,11,0,57,0,1482,23,0,1,0,0,0,1,2
5342,1976,9548,2012-08-08,31,8,0,0,0,0,0,0,3,11,0,48,1,29,6,1,0,1,0,0,0,3
9579,1959,33762,2013-07-07,61,8,0,0,0,0,0,0,3,11,0,65,3,106,9,0,1,0,0,0,1,1
7660,1973,35860,2013-07-02,37,5,1,0,0,0,0,0,3,11,1,51,2,49,6,1,0,0,0,0,1,3
1461,1965,36921,2013-07-02,74,7,0,0,0,0,0,0,3,11,0,59,2,38,7,1,0,0,0,0,1,3
821,1992,92859,2013-07-02,46,2,0,0,0,0,0,0,3,11,0,32,0,2077,22,1,0,0,0,1,0,0
11084,1976,65104,2013-07-02,4,7,0,0,0,0,0,0,3,11,1,48,1,1053,17,0,1,0,0,1,0,2
8690,1962,86111,2013-07-02,73,2,0,0,0,0,0,0,3,11,0,62,0,1385,23,0,1,0,1,0,0,4
2937,1974,68352,2013-07-02,47,6,0,0,0,0,0,0,3,11,0,50,1,871,25,1,0,0,0,0,1,0
9701,1988,41883,2013-07-02,13,7,0,0,0,0,0,0,3,11,0,36,1,312,12,0,1,0,1,0,0,1
9949,1976,59809,2013-07-02,36,8,0,0,0,0,0,0,3,11,0,48,2,877,15,0,1,0,1,0,0,4
10837,1975,23957,2013-07-02,47,6,0,0,0,0,0,0,3,11,1,49,1,68,6,0,1,0,1,0,0,1
3120,1981,38547,2013-07-02,49,8,0,0,0,0,0,1,3,11,0,43,1,22,4,0,1,0,1,0,0,1
5885,1973,35688,2013-07-02,94,8,0,0,0,0,0,0,3,11,0,51,3,211,16,0,1,0,0,0,0,1
4050,1966,49605,2013-07-02,65,3,0,0,0,0,0,0,3,11,0,58,0,127,8,0,1,0,0,1,0,2
3830,1953,59354,2013-07-02,59,3,0,0,0,0,0,0,3,11,0,71,2,459,16,0,1,0,0,1,0,2
7987,1969,65747,2014-07-03,96,6,0,1,0,0,0,0,3,11,0,55,1,460,19,0,1,0,1,0,0,4
7798,1972,46344,2013-07-02,28,7,0,0,0,0,0,0,3,11,0,52,1,429,17,0,1,0,0,0,0,1
92,1988,34176,2014-12-05,12,6,0,0,0,0,0,0,3,11,0,36,1,89,11,1,0,0,1,0,0,3
7055,1952,61010,2012-09-10,57,5,0,0,0,0,0,0,3,11,0,72,1,1021,26,0,1,0,0,0,1,2
10240,1949,69372,2013-07-02,10,4,0,1,1,0,0,0,3,11,1,75,0,1381,21,0,1,0,1,0,0,4
3025,1958,49967,2013-08-07,4,7,0,0,0,0,0,0,3,11,0,66,1,306,15,1,0,0,1,0,0,0
9283,1978,60199,2013-12-09,49,4,0,0,0,0,0,0,3,11,0,46,3,18,4,1,0,0,1,0,0,3
9970,1977,55375,2013-07-02,3,2,0,0,0,0,0,0,3,11,0,47,1,162,9,0,1,0,1,0,0,4
2730,1955,80317,2013-07-02,64,1,0,0,0,0,0,0,3,11,0,69,0,1231,18,1,0,0,1,0,0,0
2795,1958,30523,2013-01-07,0,7,0,0,0,0,0,0,3,11,0,66,3,13,4,1,0,0,0,1,0,3
9260,1945,70356,2012-05-11,20,6,0,0,0,0,0,0,3,11,0,79,0,1706,27,0,1,0,0,0,1,2
8182,1984,23228,2014-05-01,91,8,0,0,0,0,0,0,3,11,0,40,1,121,11,0,1,0,1,0,0,1
10095,1975,74165,2013-01-05,9,2,0,0,0,0,0,0,3,11,0,49,0,1293,20,1,0,0,0,0,1,0
4370,1966,43482,2013-07-02,83,6,0,0,0,0,0,0,3,11,0,58,3,88,9,0,1,0,1,0,0,1
10573,1953,62551,2013-07-02,27,3,1,0,0,0,0,0,3,11,0,71,0,421,18,1,0,0,1,0,0,0
3712,1959,52332,2013-07-02,63,4,0,1,0,0,0,0,3,11,0,65,0,259,12,1,0,0,1,0,0,0
6637,1988,66951,2013-02-11,46,1,0,0,0,0,0,0,3,11,0,36,0,1117,15,1,0,0,1,0,0,0
3152,1957,26091,2013-07-02,84,5,0,0,0,0,0,0,3,11,0,67,2,89,9,0,1,0,1,0,0,1
5610,1965,33456,2013-07-02,58,7,0,0,0,0,0,0,3,11,0,59,2,36,6,0,1,0,1,0,0,1
6460,1982,28718,2013-07-02,78,8,0,0,0,0,0,0,3,11,0,42,1,57,7,0,1,0,1,0,0,1
1349,1970,50447,2013-07-02,4,6,0,0,0,0,0,0,3,11,0,54,2,148,8,0,1,0,1,0,0,1
1880,1959,53537,2013-07-02,17,5,0,0,0,0,0,0,3,11,0,65,2,93,8,0,1,0,0,0,1,2
641,1967,52074,2014-04-04,77,4,1,0,0,0,0,0,3,11,0,57,1,119,7,1,0,0,1,0,0,0
8717,1975,80427,2012-12-09,56,5,0,0,0,0,0,0,3,11,0,49,1,1835,28,0,1,0,0,0,1,2
10314,1948,83837,2013-07-02,79,4,0,1,0,1,0,0,3,11,1,76,0,1318,25,0,1,0,0,0,1,2
10854,1970,38853,2013-07-02,90,7,0,0,0,0,0,0,3,11,0,54,2,45,7,0,1,0,0,0,1,1
10492,1959,38285,2013-07-02,96,2,0,0,0,0,0,0,3,11,0,65,3,10,4,0,1,0,1,0,0,1
6935,1951,78497,2013-01-12,44,2,0,0,0,1,0,0,3,11,0,73,0,978,25,0,1,0,0,0,0,2
7698,1976,51650,2014-11-05,81,5,0,0,0,0,0,0,3,11,0,48,1,191,10,0,1,0,0,0,1,2
3559,1988,16248,2014-10-05,77,6,0,0,0,0,0,0,3,11,0,36,1,57,9,0,1,0,0,0,0,1
10562,1946,66835,2013-07-02,21,2,0,0,0,0,0,0,3,11,0,78,0,1033,24,0,1,0,0,1,0,2
10796,1984,30477,2013-07-02,16,6,0,0,0,0,0,0,3,11,0,40,1,66,6,0,1,0,0,1,0,1
2563,1961,28249,2013-07-02,80,6,0,0,0,0,0,0,3,11,0,63,0,43,6,0,1,1,0,0,0,1
3518,1983,25271,2012-05-12,45,9,0,0,0,0,0,0,3,11,0,41,1,50,5,0,1,0,1,0,0,1
5823,1970,32303,2014-08-03,63,5,0,0,0,0,0,0,3,11,0,54,1,39,7,1,0,0,0,0,1,3
3934,1966,61286,2013-02-08,34,5,0,0,0,0,0,0,3,11,0,58,1,608,18,0,1,0,1,0,0,4
6982,1976,74068,2013-07-02,14,2,0,0,0,0,0,0,3,11,0,48,0,1581,24,0,1,0,1,0,0,4
6431,1964,45759,2013-07-02,13,7,0,0,0,0,0,0,3,11,0,60,2,68,7,0,1,0,0,0,1,1
9733,1978,24882,2012-09-09,52,6,1,0,0,0,0,0,3,11,0,46,1,80,5,0,1,1,0,0,0,1
5602,1989,66973,2013-07-02,98,3,0,0,0,0,0,0,3,11,0,35,0,1282,28,0,1,0,0,0,1,2
7829,1900,36640,2013-07-02,99,5,0,0,0,0,0,1,3,11,0,124,1,65,6,1,0,0,0,0,0,0
1324,1988,38872,2013-07-02,93,8,0,0,0,0,0,0,3,11,0,36,1,91,8,0,1,0,1,0,0,1
326,1973,51148,2013-07-02,38,6,0,0,0,0,0,0,3,11,0,51,2,315,16,0,1,0,1,0,0,4
7224,1977,31353,2013-07-02,24,8,0,0,0,0,0,0,3,11,0,47,2,31,6,0,1,0,1,0,0,1
6999,1980,69661,2013-07-02,80,3,0,0,0,0,0,0,3,11,0,44,0,834,23,0,1,0,0,1,0,2
9938,1954,80067,2013-07-02,82,2,0,0,1,0,0,0,3,11,0,70,0,1600,17,0,1,0,1,0,0,4
6422,1954,86718,2013-07-02,20,2,0,0,0,0,0,0,3,11,0,70,0,1270,17,0,1,0,1,0,0,4
3182,1973,46854,2013-07-02,81,8,1,0,0,0,0,0,3,11,1,51,2,263,15,1,0,0,0,0,1,3
7300,1952,69142,2013-07-02,50,5,0,1,0,0,0,0,3,11,0,72,1,535,19,1,0,0,1,0,0,0
10424,1968,75922,2013-09-12,60,1,0,0,0,0,0,0,3,11,0,56,0,1295,18,1,0,0,1,0,0,0
8727,1978,63693,2013-07-02,63,6,0,0,0,0,0,0,3,11,0,46,1,1150,29,1,0,0,1,0,0,0
2798,1977,102160,2012-02-11,54,4,0,1,1,1,0,0,3,11,1,47,0,1240,26,0,1,0,0,0,1,2
1030,1965,40637,2013-07-02,72,7,0,0,0,0,0,0,3,11,0,59,2,38,6,1,0,0,0,0,1,3
624,1984,18890,2012-10-11,5,6,1,0,0,0,0,0,3,11,1,40,0,35,4,1,0,0,0,1,0,3
5176,1988,29604,2013-08-12,88,9,1,0,0,0,0,0,3,11,0,36,1,53,5,0,1,0,1,0,0,1
5552,1963,48721,2013-07-02,50,6,0,0,0,0,0,0,3,11,0,61,2,293,17,1,0,0,0,1,0,0
868,1966,44794,2014-08-06,99,6,0,0,0,0,0,0,3,11,0,58,1,65,6,0,1,0,1,0,0,1
380,1954,64497,2012-10-09,17,8,1,0,0,0,0,0,3,11,1,70,1,1804,29,1,0,0,1,0,0,0
2677,1956,46097,2013-07-02,11,4,0,0,0,0,0,0,3,11,0,68,1,241,15,0,1,0,1,0,0,4
6521,1954,77972,2013-07-02,18,1,0,0,0,0,0,0,3,11,0,70,0,1101,20,0,1,0,1,0,0,4
6927,1968,44377,2012-05-10,70,8,0,0,0,0,0,0,3,11,0,56,2,264,19,0,1,0,0,0,1,2
2877,1974,46014,2013-07-02,21,7,0,0,0,0,0,0,3,11,0,50,2,541,26,0,1,0,0,1,0,2
0,1985,70951,2013-04-05,66,1,0,0,0,0,0,0,3,11,0,39,0,1198,17,0,1,0,1,0,0,4
1584,1977,41443,2014-01-04,79,8,0,0,0,0,0,0,3,11,0,47,1,482,20,0,1,0,1,0,0,4
7264,1978,52195,2014-12-05,2,8,0,0,0,0,0,0,3,11,0,46,3,17,4,1,0,0,0,0,0,3
6274,1948,83790,2013-07-02,81,3,0,1,1,0,0,0,3,11,0,76,0,1615,25,0,1,0,0,1,0,2
1377,1954,44551,2013-07-02,24,7,0,0,0,0,0,0,3,11,0,70,1,285,12,1,0,0,0,1,0,0
454,1980,69508,2013-07-02,48,6,0,0,0,0,0,0,3,11,0,44,1,1135,28,0,1,0,1,0,0,4
1755,1988,45204,2014-11-04,93,3,0,0,0,0,0,0,3,11,0,36,1,114,7,0,1,0,0,0,0,1
2075,1969,72460,2013-07-02,56,1,0,0,0,0,0,0,3,11,0,55,0,1047,16,0,1,0,1,0,0,4
4785,1970,77622,2013-07-02,3,3,0,0,0,0,0,0,3,11,0,54,2,714,22,0,1,0,0,0,1,2
9076,1980,30732,2013-05-01,44,8,0,0,0,0,0,0,3,11,0,44,1,185,13,0,1,0,0,0,1,1
7079,1962,63887,2012-08-09,38,6,0,0,0,0,0,0,3,11,0,62,1,1245,32,1,0,0,1,0,0,0
4653,1978,42011,2013-07-02,46,8,0,0,0,0,0,0,3,11,0,46,1,189,12,0,1,0,1,0,0,1
7375,1976,51369,2013-07-02,84,8,0,0,0,0,0,0,3,11,0,48,1,576,16,0,1,0,1,0,0,4
709,1952,51537,2012-09-12,27,8,0,0,0,0,0,0,3,11,0,72,1,1103,18,1,0,0,1,0,0,0
460,1972,79930,2012-08-08,72,2,0,0,0,0,0,0,3,11,0,52,0,1753,17,0,1,0,0,0,1,2
3726,1986,34320,2013-07-02,66,8,0,0,0,0,0,0,3,11,0,38,1,17,4,0,1,0,0,0,1,1
6798,1966,37070,2013-07-02,30,7,0,0,0,0,0,0,3,11,1,58,2,433,23,1,0,0,1,0,0,0
5341,1962,81975,2013-05-01,2,7,0,0,1,0,0,0,3,11,0,62,1,1588,14,1,0,0,0,0,0,0
1606,1971,38590,2013-07-02,65,8,0,0,0,0,0,0,3,11,0,53,1,22,4,0,1,0,1,0,0,1
9617,1951,15033,2013-07-02,37,3,0,0,0,0,0,0,3,11,0,73,0,19,5,1,0,0,1,0,0,3
3233,1965,62745,2013-07-02,89,5,0,0,0,0,0,0,3,11,0,59,1,1117,29,0,1,0,0,0,1,2
89,1975,22212,2013-09-12,49,6,0,0,0,0,0,0,3,11,0,49,1,69,8,0,1,0,0,0,0,1
2936,1982,23661,2013-04-12,46,7,0,0,0,0,0,0,3,11,0,42,1,23,5,0,1,0,0,1,0,1
9449,1958,79761,2013-04-10,32,3,0,0,0,0,0,0,3,11,0,66,1,605,19,1,0,0,0,0,1,0
